wine,alcohol,acid,ash1,ash2,magnesium,phenol,flavanoids,color,hue
A,14.23,1.71,2.43,15.6,127,2.8,3.06,5.64,1.04
A,13.2,1.78,2.14,11.2,100,2.65,2.76,4.38,1.05
A,13.16,2.36,2.67,18.6,101,2.8,3.24,5.68,1.03
A,14.37,1.95,2.5,16.8,113,3.85,3.49,7.8,0.86
A,13.24,2.59,2.87,21,118,2.8,2.69,4.32,1.04
A,14.2,1.76,2.45,15.2,112,3.27,3.39,6.75,1.05
A,14.39,1.87,2.45,14.6,96,2.5,2.52,5.25,1.02
A,14.06,2.15,2.61,17.6,121,2.6,2.51,5.05,1.06
A,14.83,1.64,2.17,14,97,2.8,2.98,5.2,1.08
A,13.86,1.35,2.27,16,98,2.98,3.15,7.22,1.01
A,14.1,2.16,2.3,18,105,2.95,3.32,5.75,1.25
A,14.12,1.48,2.32,16.8,95,2.2,2.43,5,1.17
A,13.75,1.73,2.41,16,89,2.6,2.76,5.6,1.15
A,14.75,1.73,2.39,11.4,91,3.1,3.69,5.4,1.25
A,14.38,1.87,2.38,12,102,3.3,3.64,7.5,1.2
A,13.63,1.81,2.7,17.2,112,2.85,2.91,7.3,1.28
A,14.3,1.92,2.72,20,120,2.8,3.14,6.2,1.07
A,13.83,1.57,2.62,20,115,2.95,3.4,6.6,1.13
A,14.19,1.59,2.48,16.5,108,3.3,3.93,8.7,1.23
A,13.64,3.1,2.56,15.2,116,2.7,3.03,5.1,0.96
A,14.06,1.63,2.28,16,126,3,3.17,5.65,1.09
A,12.93,3.8,2.65,18.6,102,2.41,2.41,4.5,1.03
A,13.71,1.86,2.36,16.6,101,2.61,2.88,3.8,1.11
A,12.85,1.6,2.52,17.8,95,2.48,2.37,3.93,1.09
A,13.5,1.81,2.61,20,96,2.53,2.61,3.52,1.12
A,13.05,2.05,3.22,25,124,2.63,2.68,3.58,1.13
A,13.39,1.77,2.62,16.1,93,2.85,2.94,4.8,0.92
A,13.3,1.72,2.14,17,94,2.4,2.19,3.95,1.02
A,13.87,1.9,2.8,19.4,107,2.95,2.97,4.5,1.25
A,14.02,1.68,2.21,16,96,2.65,2.33,4.7,1.04
A,13.73,1.5,2.7,22.5,101,3,3.25,5.7,1.19
A,13.58,1.66,2.36,19.1,106,2.86,3.19,6.9,1.09
A,13.68,1.83,2.36,17.2,104,2.42,2.69,3.84,1.23
A,13.76,1.53,2.7,19.5,132,2.95,2.74,5.4,1.25
A,13.51,1.8,2.65,19,110,2.35,2.53,4.2,1.1
A,13.48,1.81,2.41,20.5,100,2.7,2.98,5.1,1.04
A,13.28,1.64,2.84,15.5,110,2.6,2.68,4.6,1.09
A,13.05,1.65,2.55,18,98,2.45,2.43,4.25,1.12
A,13.07,1.5,2.1,15.5,98,2.4,2.64,3.7,1.18
A,14.22,3.99,2.51,13.2,128,3,3.04,5.1,0.89
B,12.37,0.94,1.36,10.6,88,1.98,0.57,1.95,1.05
B,12.33,1.1,2.28,16,101,2.05,1.09,3.27,1.25
B,12.64,1.36,2.02,16.8,100,2.02,1.41,5.75,0.98
B,13.67,1.25,1.92,18,94,2.1,1.79,3.8,1.23
B,12.37,1.13,2.16,19,87,3.5,3.1,4.45,1.22
B,12.17,1.45,2.53,19,104,1.89,1.75,2.95,1.45
B,12.37,1.21,2.56,18.1,98,2.42,2.65,4.6,1.19
B,13.11,1.01,1.7,15,78,2.98,3.18,5.3,1.12
B,12.37,1.17,1.92,19.6,78,2.11,2,4.68,1.12
B,13.34,0.94,2.36,17,110,2.53,1.3,3.17,1.02
B,12.21,1.19,1.75,16.8,151,1.85,1.28,2.85,1.28
B,12.29,1.61,2.21,20.4,103,1.1,1.02,3.05,0.906
B,13.86,1.51,2.67,25,86,2.95,2.86,3.38,1.36
B,13.49,1.66,2.24,24,87,1.88,1.84,3.74,0.98
B,12.99,1.67,2.6,30,139,3.3,2.89,3.35,1.31
B,11.96,1.09,2.3,21,101,3.38,2.14,3.21,0.99
B,11.66,1.88,1.92,16,97,1.61,1.57,3.8,1.23
B,13.03,0.9,1.71,16,86,1.95,2.03,4.6,1.19
B,11.84,2.89,2.23,18,112,1.72,1.32,2.65,0.96
B,12.33,0.99,1.95,14.8,136,1.9,1.85,3.4,1.06
B,12.7,3.87,2.4,23,101,2.83,2.55,2.57,1.19
B,12,0.92,2,19,86,2.42,2.26,2.5,1.38
B,12.72,1.81,2.2,18.8,86,2.2,2.53,3.9,1.16
B,12.08,1.13,2.51,24,78,2,1.58,2.2,1.31
B,13.05,3.86,2.32,22.5,85,1.65,1.59,4.8,0.84
B,11.84,0.89,2.58,18,94,2.2,2.21,3.05,0.79
B,12.67,0.98,2.24,18,99,2.2,1.94,2.62,1.23
B,12.16,1.61,2.31,22.8,90,1.78,1.69,2.45,1.33
B,11.65,1.67,2.62,26,88,1.92,1.61,2.6,1.36
B,11.64,2.06,2.46,21.6,84,1.95,1.69,2.8,1
B,12.08,1.33,2.3,23.6,70,2.2,1.59,1.74,1.07
B,12.08,1.83,2.32,18.5,81,1.6,1.5,2.4,1.08
B,12,1.51,2.42,22,86,1.45,1.25,3.6,1.05
B,12.69,1.53,2.26,20.7,80,1.38,1.46,3.05,0.96
B,12.29,2.83,2.22,18,88,2.45,2.25,2.15,1.15
B,11.62,1.99,2.28,18,98,3.02,2.26,3.25,1.16
B,12.47,1.52,2.2,19,162,2.5,2.27,2.6,1.16
B,11.81,2.12,2.74,21.5,134,1.6,0.99,2.5,0.95
B,12.29,1.41,1.98,16,85,2.55,2.5,2.9,1.23
B,12.37,1.07,2.1,18.5,88,3.52,3.75,4.5,1.04
